ItemNo,Manufacturer Part No,CostPrice,Wimood_Target_Margin,Median_Achieved_Margin_Pct,Competitor_Margin_Pct,CompetitorStatus,SMB01,SMB02,SMB03,SMB04,SMB05,SMB06,SMB07,SMB08,SMB09,SMB10,SMB11,SMB12,SMB13,SMB14,SMB15,SMB16,SMB17,SMB18,SMB19,SMB20,supplierName,LTM Turnover (DKK)
W127006450,UACC-AOC-SFP28-30M,77.54,0.2187,0.0752,,No Main Competitor,0.0727,0.0752,0.0752,0.0752,0.0752,0.0752,0.0789,0.0827,0.0864,0.0902,0.0939,0.0977,0.1014,0.1052,0.1089,0.1127,0.1164,0.1202,0.1239,0.1277,No comp data,15771.922787
W128791904,UVC-AI-THETA-HUB,150.47,,0.0753,0.0359,Used,0.0359,0.0595,0.0595,0.0595,0.0595,0.0595,0.0633,0.067,0.0707,0.0745,0.0782,0.082,0.0857,0.0895,0.0932,0.097,0.1007,0.1045,0.1082,0.112,ALLNET Deutschland,96011.264716
W128301712,UVC-AI-THETA-AUDIO,50.77,0.0439,0.0685,0.036,Used,0.036,0.0555,0.0555,0.0555,0.0555,0.0555,0.0592,0.063,0.0668,0.0705,0.0743,0.078,0.0818,0.0855,0.0893,0.093,0.0968,0.1005,0.1043,0.108,ALLNET Deutschland,24827.807034
W129242838,UACC-UK-ULTRA-OMNI-ANTENNA-AO,11.08,,0.0856,,No Competitor Data,0.0856,0.0856,0.0856,0.0856,0.0856,0.0856,0.0893,0.0931,0.0969,0.1006,0.1043,0.1081,0.1119,0.1156,0.1194,0.1231,0.1269,0.13,0.13,0.13,No comp data,4356.725264
POE-54V-80W,POE-54V-80W,20.31,0.1374,0.064,0.0359,Used,0.0359,0.0528,0.0528,0.0528,0.0528,0.0528,0.0566,0.0603,0.0641,0.0678,0.0716,0.0753,0.0791,0.0828,0.0866,0.0903,0.0941,0.0978,0.1016,0.1053,ALLNET Deutschland,82962.559695
UF-SPLITTER-16,UF-SPLITTER-16,18.46,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,742.25
W129123924,USW-WAN-RJ45,188.32,0.0381,0.0526,0.0277,Used,0.0277,0.0426,0.0426,0.0426,0.0426,0.0426,0.0463,0.0501,0.0538,0.0576,0.0613,0.0651,0.0688,0.0726,0.0764,0.0801,0.0838,0.0876,0.0914,0.0951,ALLNET Deutschland,143243.248453
W128407387,UACC-G4-INS-COVER-GREY,8.31,,0.0588,,No Competitor Data,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0625,0.0663,0.07,0.0738,0.0775,0.0813,0.085,0.0888,0.0925,0.0963,0.1,0.1038,0.1075,0.1113,No comp data,1524.232539
W128986556,UACC-OFC-S2-LULU-15M,15.69,,,,No Competitor Data,0.075,0.075,0.075,0.075,0.075,0.075,0.0788,0.0825,0.0862,0.09,0.0938,0.0975,0.1013,0.105,0.1087,0.1125,0.1163,0.12,0.1237,0.1275,No comp data,294.445039
W128863998,UICARE-USW-ENTERPRISEXG-24-EU-D,1112.48,-0.8148,0.0526,,No Main Competitor,0.025,0.0526,0.0526,0.0526,0.0526,0.0526,0.0563,0.0601,0.0639,0.0676,0.0713,0.0751,0.0789,0.0826,0.0863,0.0901,0.0939,0.0976,0.1013,0.1051,No comp data,6928.39896
EP-54V-150W,EP-54V-150W,137.55,0.129,0.087,,No Main Competitor,0.0845,0.087,0.087,0.087,0.087,0.087,0.0907,0.0945,0.0982,0.102,0.1057,0.1095,0.1132,0.117,0.1207,0.1245,0.1283,0.13,0.13,0.13,No comp data,6621.185972
W128909065,UACC-G5-PTZ-ICM,28.62,0.0692,0.0811,,No Main Competitor,0.0692,0.0811,0.0811,0.0811,0.0811,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1074,0.1111,0.1148,0.1186,0.1224,0.1261,0.1298,0.13,No comp data,8396.935433
W128836271,UTP-TOUCHMAX,234.48,,0.0756,,No Competitor Data,0.0756,0.0756,0.0756,0.0756,0.0756,0.0756,0.0793,0.0831,0.0868,0.0906,0.0943,0.0981,0.1018,0.1056,0.1093,0.1131,0.1168,0.1206,0.1243,0.1281,No comp data,15004.511715
W128863995,UICARE-USW-PRO-48-POE-EU-D,955.9,-0.8276,0.0584,,No Main Competitor,0.025,0.0584,0.0584,0.0584,0.0584,0.0584,0.0621,0.0659,0.0697,0.0734,0.0771,0.0809,0.0847,0.0884,0.0921,0.0959,0.0997,0.1034,0.1071,0.1109,No comp data,365663.386021
W128409609,WAVE-AP-MICRO,364.64,0.0174,0.0725,,No Main Competitor,0.025,0.0725,0.0725,0.0725,0.0725,0.0725,0.0762,0.08,0.0838,0.0875,0.0912,0.095,0.0988,0.1025,0.1062,0.11,0.1138,0.1175,0.1212,0.125,No comp data,250578.113324
EP-S16,EP-S16,433.88,-0.1631,0.0468,,No Main Competitor,0.025,0.0468,0.0468,0.0468,0.0468,0.0468,0.0505,0.0543,0.058,0.0618,0.0655,0.0693,0.0731,0.0768,0.0805,0.0843,0.0881,0.0918,0.0955,0.0993,No comp data,22925.015103
W129015516,UACC-OM-SFP10-1330,72.93,,0.0916,,No Competitor Data,0.0891,0.0916,0.0916,0.0916,0.0916,0.0916,0.0954,0.0991,0.1028,0.1066,0.1104,0.1141,0.1178,0.1216,0.1253,0.1291,0.13,0.13,0.13,0.13,No comp data,59128.565216
W128986562,UACC-KEYSTONE-COUPLER-C6A,28.62,0.1041,0.0637,0.0615,Used,0.0615,0.0628,0.0628,0.0628,0.0628,0.0628,0.0665,0.0703,0.0741,0.0778,0.0816,0.0853,0.0891,0.0928,0.0966,0.1003,0.1041,0.1078,0.1116,0.1153,ALLNET Deutschland,223979.384404
W128884725,UA-LOCK-MAGNETIC-270KG,111.48,0.0253,0.073,0.0395,Used,0.0253,0.0596,0.0596,0.0596,0.0596,0.0596,0.0634,0.0671,0.0709,0.0746,0.0784,0.0821,0.0859,0.0896,0.0934,0.0971,0.1009,0.1046,0.1084,0.1121,ALLNET Deutschland,223908.193856
W128986549,UACC-OFC-M2-LULU-5M,6.92,,0.0534,0.0621,Used,0.0534,0.0569,0.0569,0.0569,0.0569,0.0569,0.0607,0.0644,0.0682,0.0719,0.0757,0.0794,0.0832,0.0869,0.0907,0.0944,0.0982,0.1019,0.1057,0.1094,ALLNET Deutschland,9231.711523
W128807442,UACC-G4-DB-PRO-COVER-CONCRETE,22.16,,0.0548,,No Competitor Data,0.0548,0.0548,0.0548,0.0548,0.0548,0.0548,0.0586,0.0623,0.066,0.0698,0.0736,0.0773,0.0811,0.0848,0.0886,0.0923,0.0961,0.0998,0.1036,0.1073,No comp data,1546.801533
