Quote created at,Order created at,MinuteDiff between quote created and order created at,Order Created by,Origin of order,Global Business Partner No.,Global Business Partner Name,Customer Type,Segmentation,Business Unit,LOG_Price Type,LOG_Price Original Type,As-Is_Price Original Type,As-Is_Price Original Type Mechanism,XGRP Responsive,XGRP Level,Price Start RelMonth,Price Adjusted,Customer Name,Customer No.,Product Prices Exist,Avoid customer price profile,Avoid default sales prices,Sales Category,HIPO Evaluation,Sales Revenue Category,Sales Profit Category,Sales Profit Potential,System Price Profile Code,Customer Process Method Code,Brandtype,Cost changed Reasoncode,Order Cost Change Amount,Posting Week,Posting Month,Posting Year,Posting Date,Order Date,Campaign No.,Qty. Disc. Code,Item description,Source Profile,RelMonth,RelWeek,Requested Price,Item Group Name,GPPG,Document Type,GPPGName,Brand No.,BrandName,Item No.,Process Method Code,Sensitivity Cluster,Product type code,Product Group,Product Group Name,Created Date,Sales Price Responsible,As-Is_Sales Price Owner,Sales Price Track,LOG_Sales Price Owner,LOG_Calculated Code,Blocking,Document No.,Order No.,Qty,Line Discount Amount,Unit Price Last modified by,Price modified by Name,Salesperson Name,Original Unit Price,Price Adjusted_log,Sales Cost (DKK),Order Cost Change Amount (DKK),[Discount (DKK)],Discount (LCY),[requested price (DKK)],Original Turnover (DKK),Turnover (LCY),Turnover (DKK),FinCost (LCY),FinCost (DKK),Fin.Profit (LCY),Fin. Profit DKK,Sales Profit (LCY),Sales Profit (DKK),Top 200
2026-02-07 19:18:20.467,2026-02-07 19:19:17.017,1.0,SVC_OUT,XML,,,2,1,DE,Product,Product,Product,Unit Price,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,1,0,A,Yes,A,,,20251229.1,,0,,0.0,202607,202602,2026,2026-02-09,2026-02-07,PT_OBS,,Paintable mounting kit for ,,-1,-5,5.69,Accessories,16000,Invoice,Network,45790,Ubiquiti,W128890730,O100,0,,300,Network products,2024-06-03,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,A,Purchase,3848167,2747752.0,1,0,,,Paarthiban Sathianathan,5.69,,29.715475,0.0,0.0,,42.482677,42.482677,5.69,42.482678,-3.98,-29.715475,1.71,12.767201,1.71,12.767202,0
2026-03-05 10:18:52.057,2026-03-05 11:37:04.790,79.0,psa-de,XML,,,2,1,DE,Product,Product,Product,Unit Price,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,1,0,A,Yes,A,,,20251229.1,,0,,0.0,202610,202603,2026,2026-03-05,2026-03-05,PT_OBS,,Paintable mounting kit for ,,0,-2,0.0,Accessories,16000,Invoice,Network,45790,Ubiquiti,W128890730,O100,0,,300,Network products,2024-06-03,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,A,Purchase,3855876,2755632.0,2,0,,,Paarthiban Sathianathan,5.65,,60.670815,0.0,0.0,,0.0,84.431061,11.3,84.431062,-8.12,-60.670815,3.18,23.760245,3.18,23.760246,0
2025-12-29 10:02:37.887,2025-12-29 11:16:52.297,74.0,aho-de,XML,,,2,1,DE,Product,Product,Product,Unit Price,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,1,0,A,Yes,A,,,20251229.1,,0,,0.0,202602,202601,2026,2026-01-06,2025-12-29,PT_OBS,,Paintable mounting kit for ,,-2,-10,6.96,Accessories,16000,Invoice,Network,45790,Ubiquiti,W128890730,O100,0,,300,Network products,2024-06-03,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,A,Purchase,3837962,2737246.0,1,0,,,Paarthiban Sathianathan,6.96,,30.622381,0.0,0.0,,51.983359,51.983359,6.96,51.983359,-4.1,-30.622381,2.86,21.360978,2.86,21.360978,0
2026-03-08 18:46:10.960,2026-03-09 09:27:30.123,881.0,psa-de,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,GR-COUNTRY,0.0,202611,202603,2026,2026-03-09,2026-03-09,,,A mounting plate designed to ,AHO&PSA,0,-1,31.0,Accessories,12000,Invoice,Surveillance & Security,45790,Ubiquiti,W129234933,,0,,250,Surveillance,2025-09-03,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3856747,2756427.0,1,0,,,Paarthiban Sathianathan,31.0,,206.515023,0.0,0.0,,231.619599,231.619599,31.0,231.6196,-27.64,-206.515023,3.36,25.104575,3.36,25.104576,0
2026-03-08 19:29:07.447,2026-03-09 09:27:45.907,838.0,psa-de,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,GR-COUNTRY,0.0,202611,202603,2026,2026-03-09,2026-03-09,,,A mounting plate designed to ,AHO&PSA,0,-1,31.0,Accessories,12000,Invoice,Surveillance & Security,45790,Ubiquiti,W129234933,,0,,250,Surveillance,2025-09-03,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3856748,2756428.0,1,0,,,Paarthiban Sathianathan,31.0,,206.515023,0.0,0.0,,231.619599,231.619599,31.0,231.6196,-27.64,-206.515023,3.36,25.104575,3.36,25.104576,0
2026-01-08 17:20:16.087,2026-01-08 17:24:21.370,4.0,SVC_OUT,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,,0.0,202602,202601,2026,2026-01-09,2026-01-08,,,Indoor OM4 multi-mode fiber ,AHO&PSA,-2,-10,148.88,Accessories,16000,Invoice,Network,45790,Ubiquiti,W129042618,,0,,300,Network products,2025-02-19,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3838976,2738791.0,6,0,,,Paarthiban Sathianathan,148.88,,6338.086026,0.0,0.0,,1111.965882,6671.795293,893.28,6671.795293,-846.48,-6322.252014,46.8,349.543278,44.68,333.709267,0
2026-01-12 10:19:07.427,2026-01-12 10:22:57.403,3.0,SVC_OUT,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,,0.0,202603,202601,2026,2026-01-12,2026-01-12,,,UniFi Ethernet Patch Cable,AHO&PSA,-2,-9,3.2,Accessories,16000,Invoice,Network,45790,Ubiquiti,W126203915,,0,,300,Network products,2021-06-29,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3839396,2739285.0,2,0,,,Paarthiban Sathianathan,3.2,,45.429759,0.0,0.0,,23.910399,47.820799,6.4,47.8208,-6.06,-45.280319,0.34,2.540479,0.32,2.39104,0
2026-01-26 11:51:00.513,2026-01-26 12:04:58.400,13.0,SVC_OUT,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,,0.0,202605,202601,2026,2026-01-26,2026-01-26,,,UniFi Switch Lite 8 PoE,AHO&PSA,-2,-7,87.21,8-> port,16000,Invoice,Network,45790,Ubiquiti,W125835463,,0,,300,Network products,2020-09-02,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3843689,2743539.0,3,0,,,Paarthiban Sathianathan,87.21,,1856.295551,0.0,0.0,,651.354047,1954.062143,261.63,1954.062144,-247.92,-1851.664895,13.71,102.397247,13.09,97.766592,0
2026-01-29 12:08:37.077,2026-01-29 12:12:52.690,4.0,SVC_OUT,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,,0.0,202605,202601,2026,2026-01-29,2026-01-29,,,UniFi Switch Lite 8 PoE,AHO&PSA,-2,-7,87.21,8-> port,16000,Invoice,Network,45790,Ubiquiti,W125835463,,0,,300,Network products,2020-09-02,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3845065,2744966.0,1,0,,,Paarthiban Sathianathan,87.21,,618.790079,0.0,0.0,,651.354047,651.354047,87.21,651.354048,-82.64,-617.221631,4.57,34.132415,4.36,32.563968,0
2026-02-03 07:34:26.180,2026-02-03 07:36:57.347,2.0,SVC_OUT,XML,,,2,1,DE,Customer,Customer,Customer,Profit %,No,No,0-3M,,Jacob Elektronik GmbH,22218,Yes,0,0,A,Yes,A,,,20251229.1,,0,,0.0,202606,202602,2026,2026-02-03,2026-02-03,,,UniFi Switch Lite 8 PoE,AHO&PSA,-1,-6,85.87,8-> port,16000,Invoice,Network,45790,Ubiquiti,W125835463,,0,,300,Network products,2020-09-02,PRICE TRACKER,PRICING TEAM,PRICE TRACKER,PRICING TEAM,AHO&PSA,,3846406,2746136.0,1,0,,,Paarthiban Sathianathan,85.87,,609.117723,0.0,0.0,,641.227644,641.227644,85.87,641.227644,-81.37,-607.624239,4.5,33.603405,4.3,32.10992,0
